단지명,거래구분,전용면적(㎡),시군구,번지,계약년월,건축년도,평균 보증금(만원),평균 월세금(만원)
흑석리버파크자이,전세,59,서울특별시 동작구 흑석동,253-89,202504,2023,65350,0
흑석리버파크자이,월세,84,서울특별시 동작구 흑석동,253-89,202504,2023,52500,78
두산위브트레지움2차,전세,84,서울특별시 동작구 상도동,535,202504,2016,78000,0
북한산두산위브,월세,33,서울특별시 서대문구 홍은동,467,202504,2020,13011,32
힐스테이트 상도 센트럴파크,전세,84,서울특별시 동작구 상도동,531,202504,2012,80333,0
힐스테이트홍은포레스트,전세,59,서울특별시 서대문구 홍은동,470,202504,2023,54000,0
한강(대우),전세,60,서울특별시 용산구 이촌동,415,202504,2000,85000,0
에스케이북한산시티(임대),월세,32,서울특별시 강북구 미아동,1353-1,202504,2004,961,16
동아그린,전세,43,서울특별시 용산구 이촌동,411,202504,1999,44000,0
한영스테이,월세,45,서울특별시 성동구 마장동,783-5,202504,2025,20400,73
한영스테이,월세,18,서울특별시 성동구 마장동,783-5,202504,2025,9225,37
대림,월세,114,서울특별시 용산구 이촌동,395,202504,1994,55000,50
강변,전세,64,서울특별시 용산구 이촌동,193-3,202504,1971,19000,0
사가정센트럴아이파크,월세,84,서울특별시 중랑구 면목동,1545,202504,2020,40000,118
SKVIEW,전세,84,서울특별시 구로구 신도림동,432-1,202504,2006,69000,0
리더스,월세,29,서울특별시 중랑구 상봉동,104-10,202504,2019,14200,66
현대3차,월세,59,서울특별시 영등포구 대림동,608-1,202504,1997,23000,65
성원(1115-1),전세,73,서울특별시 영등포구 대림동,1115-1,202504,1997,30000,0
영등포자이르네,전세,49,서울특별시 영등포구 대림동,1132,202504,2022,46500,0
현대2,전세,84,서울특별시 영등포구 대림동,785,202504,1992,40000,0
신길AK푸르지오,월세,49,서울특별시 영등포구 신길동,255-9,202504,2024,16000,122
신길센트럴자이아파트,월세,84,서울특별시 영등포구 신길동,4964,202504,2021,10000,270
헬리오시티,전세,84,서울특별시 송파구 가락동,913,202504,2018,114250,0
한신아파트,전세,59,서울특별시 동대문구 제기동,1212,202504,2004,40720,0
한신아파트,월세,84,서울특별시 동대문구 제기동,1212,202504,2004,10000,150
안암골벽산,전세,116,서울특별시 동대문구 제기동,153,202504,2003,59000,0
롯데캐슬아르떼,전세,121,서울특별시 서초구 방배동,424-28,202504,2013,155000,0
서울숲아이파크리버포레,전세,59,서울특별시 성동구 성수동1가,721,202504,2024,86231,0
신성둔촌미소지움1,전세,84,서울특별시 강동구 둔촌동,546,202504,1998,60000,0
신림푸르지오,전세,84,서울특별시 관악구 신림동,1730,202504,2005,60500,0
구로두산위브,전세,36,서울특별시 구로구 구로동,1278,202504,2006,26500,0
헬리오시티,월세,84,서울특별시 송파구 가락동,913,202504,2018,41111,268
양원금호어울림포레스트,월세,69,서울특별시 중랑구 망우동,621,202504,2021,21000,30
중랑숲시티프라디움,월세,55,서울특별시 중랑구 망우동,620,202504,2022,13720,51
도화동현대,전세,79,서울특별시 마포구 도화동,357,202504,1996,62000,0
용산원효루미니,월세,33,서울특별시 용산구 원효로1가,134,202504,2022,13533,58
용산원효루미니,월세,43,서울특별시 용산구 원효로1가,134,202504,2022,16566,83
쌍용,전세,84,서울특별시 성동구 성수동1가,706,202504,1997,66667,0
이편한세상마포리버파크,월세,59,서울특별시 마포구 용강동,508,202504,2016,32600,210
한일유앤아이,전세,59,서울특별시 구로구 고척동,337,202504,2005,37500,0
경남2,전세,59,서울특별시 구로구 고척동,306,202504,1999,30000,0
삼익(2단지),월세,59,서울특별시 구로구 고척동,331,202504,2001,5000,115
센트라스,전세,59,서울특별시 성동구 하왕십리동,1070,202504,2016,77750,0
청구,전세,84,서울특별시 구로구 고척동,326,202504,1999,28000,0
강변그대가리버뷰,전세,84,서울특별시 강동구 천호동,568,202504,2007,70000,0
우성,전세,51,서울특별시 강동구 천호동,19-1,202504,1985,35000,0
개봉푸르지오,전세,84,서울특별시 구로구 개봉동,492,202504,2014,54500,0
두산,전세,59,서울특별시 구로구 개봉동,472,202504,1997,33667,0
장미(시영6),전세,39,서울특별시 노원구 하계동,273,202504,1989,21000,0
센트라스,월세,59,서울특별시 성동구 하왕십리동,1070,202504,2016,25000,220
금강(343),전세,60,서울특별시 구로구 오류동,343,202504,2003,40000,0
온수힐스테이트,전세,59,서울특별시 구로구 온수동,155,202504,2010,42667,0
천왕연지마을1단지,월세,32,서울특별시 구로구 천왕동,280-13,202504,2017,4740,17
동부,전세,50,서울특별시 관악구 신림동,1695,202504,1993,35000,0
항동제일풍경채포레스트,월세,101,서울특별시 구로구 항동,246,202504,2020,20000,114
월곡두산위브,전세,59,서울특별시 성북구 하월곡동,222,202504,2003,43000,0
서울숲힐스테이트,전세,57,서울특별시 성동구 성수동2가,843,202504,2009,75000,0
강변에스케이뷰,전세,84,서울특별시 광진구 구의동,667,202504,2017,73500,0
센터스퀘어서울대점,월세,22,서울특별시 관악구 신림동,1747,202504,2024,8095,60
종암에스케이,전세,59,서울특별시 성북구 종암동,104-1,202504,1999,38134,0
래미안세레니티,전세,59,서울특별시 성북구 종암동,133,202504,2009,50000,0
삼성,전세,84,서울특별시 송파구 오금동,160,202504,1989,59000,0
전농SK,전세,84,서울특별시 동대문구 전농동,10,202504,2000,50400,0
개포주공7단지,전세,60,서울특별시 강남구 개포동,185,202504,1983,45000,0
개포자이프레지던스,월세,59,서울특별시 강남구 개포동,189,202504,2023,12500,425
LH서울양원1단지,월세,44,서울특별시 중랑구 망우동,608,202504,2022,10840,41
LH서울양원1단지,월세,14,서울특별시 중랑구 망우동,608,202504,2022,3220,12
삼성래미안,전세,114,서울특별시 용산구 도원동,23,202504,2001,73500,0
삼성래미안,월세,114,서울특별시 용산구 도원동,23,202504,2001,38000,170
대림,전세,125,서울특별시 송파구 오금동,2,202504,1988,80000,0
개포더샵트리에,전세,105,서울특별시 강남구 개포동,651-1,202504,2021,137500,0
길음뉴타운1단지(래미안길음1차),전세,59,서울특별시 성북구 길음동,1279,202504,2003,49375,0
길음동동부센트레빌(1278-0),전세,59,서울특별시 성북구 길음동,1278,202504,2003,46400,0
길음역롯데캐슬트윈골드,월세,42,서울특별시 성북구 길음동,542-1,202504,2024,5054,17
유진스웰,전세,165,서울특별시 광진구 광장동,121,202504,2011,125000,0
갈현동현대,전세,111,서울특별시 은평구 갈현동,537,202504,1997,50000,0
천호역효성해링턴타워,월세,16,서울특별시 강동구 성내동,609,202504,2023,5990,42
우디안4단지,월세,31,서울특별시 중랑구 신내동,831,202504,2018,7802,12
삼익,전세,84,서울특별시 금천구 시흥동,5-13,202504,1999,32000,0
마포자이더센트리지(102동~112동),전세,59,서울특별시 마포구 염리동,533,202504,2022,84000,0
이지리움S,월세,12,서울특별시 영등포구 영등포동2가,28-117,202504,2013,3000,45
삼환,전세,84,서울특별시 영등포구 영등포동8가,76-1,202504,1999,72000,0
