단지명,거래구분,전용면적(㎡),시군구,번지,계약년월,건축년도,평균 거래금액(만원)
2차한양아파트,매매,64,서울특별시 송파구 송파동,151,202505,1984,155350
2차한양아파트,매매,126,서울특별시 송파구 송파동,151,202505,1984,202000
2차한양아파트,매매,146,서울특별시 송파구 송파동,151,202505,1984,220000
620-47(롯데캐슬L-65),매매,84,서울특별시 동대문구 전농동,620-47,202505,2023,176500
67디벨리움,매매,17,서울특별시 노원구 공릉동,670-7,202505,2016,16000
AQUADCASAS,매매,59,서울특별시 송파구 방이동,223-13,202505,2004,62000
AirPalace(619-7),매매,14,서울특별시 강서구 방화동,619-7,202505,2013,9000
CJ나인파크,매매,84,서울특별시 용산구 문배동,24-6,202505,2007,145500
CJ나인파크,매매,97,서울특별시 용산구 문배동,24-6,202505,2007,142000
DMC금호리첸시아,매매,59,서울특별시 서대문구 남가좌동,396,202505,2024,108750
DMC두산위브,매매,84,서울특별시 서대문구 북가좌동,459,202505,2007,88000
DMC래미안e편한세상,매매,59,서울특별시 서대문구 북가좌동,481,202505,2012,106860
DMC래미안e편한세상,매매,84,서울특별시 서대문구 북가좌동,481,202505,2012,125545
DMC래미안e편한세상,매매,120,서울특별시 서대문구 북가좌동,481,202505,2012,150950
DMC래미안클라시스,매매,59,서울특별시 서대문구 남가좌동,377,202505,2000,82000
DMC래미안클라시스,매매,84,서울특별시 서대문구 남가좌동,377,202505,2000,92000
DMC롯데캐슬더퍼스트,매매,49,서울특별시 은평구 수색동,417,202505,2021,75300
DMC롯데캐슬더퍼스트,매매,59,서울특별시 은평구 수색동,417,202505,2021,103500
DMC롯데캐슬더퍼스트,매매,84,서울특별시 은평구 수색동,417,202505,2021,125000
DMC문영퀸즈파크아파트,매매,84,서울특별시 은평구 증산동,254,202505,2004,57000
DMC상암센트럴파크1단지,매매,84,서울특별시 마포구 상암동,1630,202505,2009,117500
DMC상암센트럴파크2단지,매매,59,서울특별시 마포구 상암동,1618,202505,2009,92800
DMC서부인터빌,매매,84,서울특별시 서대문구 북가좌동,467,202505,2008,71500
DMC센트럴아이파크,매매,84,서울특별시 서대문구 남가좌동,388,202505,2018,121688
DMC센트럴자이(1단지),매매,84,서울특별시 은평구 증산동,258,202505,2023,156000
DMC센트럴자이(2단지),매매,59,서울특별시 은평구 증산동,258,202505,2023,125000
DMC센트럴자이(3단지),매매,84,서울특별시 은평구 증산동,258,202505,2023,153750
DMC센트레빌,매매,84,서울특별시 서대문구 남가좌동,381,202505,2009,106200
DMC에코자이,매매,59,서울특별시 서대문구 남가좌동,389,202505,2019,108286
DMC에코자이,매매,72,서울특별시 서대문구 남가좌동,389,202505,2019,121750
DMC에코자이,매매,84,서울특별시 서대문구 남가좌동,389,202505,2019,132000
DMC우방,매매,59,서울특별시 은평구 증산동,244,202505,2000,72250
DMC우방,매매,84,서울특별시 은평구 증산동,244,202505,2000,94000
DMC파크뷰자이1단지,매매,59,서울특별시 서대문구 남가좌동,385,202505,2015,118667
DMC파크뷰자이1단지,매매,84,서울특별시 서대문구 남가좌동,385,202505,2015,133369
DMC파크뷰자이2단지,매매,84,서울특별시 서대문구 남가좌동,385,202505,2015,127000
DMC파크뷰자이3단지,매매,59,서울특별시 서대문구 남가좌동,385,202505,2015,106700
DMC파크뷰자이4단지,매매,84,서울특별시 서대문구 남가좌동,385,202505,2015,124500
DMC한양,매매,65,서울특별시 서대문구 북가좌동,431,202505,1987,68000
DMC한양,매매,116,서울특별시 서대문구 북가좌동,431,202505,1987,96250
EGSoulLeader,매매,13,서울특별시 중랑구 망우동,506-8,202505,2012,9325
EL샤틀레,매매,84,서울특별시 영등포구 신길동,480,202505,2003,75000
KCC엠파이어리버,매매,156,서울특별시 마포구 합정동,381-16,202505,2006,199000
LG선릉에클라트(A),매매,36,서울특별시 강남구 삼성동,142-7,202505,2003,35000
LG한강자이,매매,134,서울특별시 용산구 이촌동,430,202505,2003,390000
LIG건영,매매,59,서울특별시 노원구 중계동,586,202505,1998,43000
LIG대학마을(건영아파트3차),매매,69,서울특별시 관악구 신림동,1703-1,202505,1996,58000
LIG서울역리가,매매,84,서울특별시 중구 만리동1가,231,202505,2012,144000
SKVIEW,매매,84,서울특별시 구로구 신도림동,432-1,202505,2006,103900
