단지명,전용면적(㎡),거래구분,번지,평균 거래금액(만원),시군구,계약년월,건축년도
(742-57),21,매매,742-57,13000,서울특별시 구로구 구로동,202505,법인
(743-39),54,매매,743-39,20000,서울특별시 구로구 구로동,202505,개인
(749-1),28,매매,749-1,12000,서울특별시 구로구 구로동,202505,개인
(751-3),35,매매,751-3,19150,서울특별시 구로구 구로동,202505,개인
(780-50),21,매매,780-50,13100,서울특별시 구로구 구로동,202505,법인
(791-16),38,매매,791-16,18900,서울특별시 구로구 구로동,202505,개인
(792-102),29,매매,792-102,11000,서울특별시 구로구 구로동,202505,개인
(793-44),33,매매,793-44,19800,서울특별시 구로구 구로동,202505,법인
(793-54),34,매매,793-54,14900,서울특별시 구로구 구로동,202505,개인
(796-25),45,매매,796-25,20500,서울특별시 구로구 구로동,202505,개인
(797-57),54,매매,797-57,25000,서울특별시 구로구 구로동,202505,개인
(99-1),58,매매,99-1,42000,서울특별시 동작구 대방동,202505,개인
2차한양아파트,64,매매,151,155350,서울특별시 송파구 송파동,202505,개인
2차한양아파트,126,매매,151,202000,서울특별시 송파구 송파동,202505,개인
2차한양아파트,146,매매,151,220000,서울특별시 송파구 송파동,202505,개인
620-47(롯데캐슬L-65),84,매매,620-47,176500,서울특별시 동대문구 전농동,202505,개인
67디벨리움,17,매매,670-7,16000,서울특별시 노원구 공릉동,202505,개인
AQUADCASAS,59,매매,223-13,62000,서울특별시 송파구 방이동,202505,개인
AirPalace(619-7),14,매매,619-7,9000,서울특별시 강서구 방화동,202505,개인
CJ나인파크,84,매매,24-6,145500,서울특별시 용산구 문배동,202505,개인
CJ나인파크,97,매매,24-6,142000,서울특별시 용산구 문배동,202505,개인
DMC금호리첸시아,59,매매,396,108750,서울특별시 서대문구 남가좌동,202505,개인
DMC두산위브,84,매매,459,88000,서울특별시 서대문구 북가좌동,202505,개인
DMC래미안e편한세상,59,매매,481,106860,서울특별시 서대문구 북가좌동,202505,개인
DMC래미안e편한세상,84,매매,481,125545,서울특별시 서대문구 북가좌동,202505,개인
DMC래미안e편한세상,120,매매,481,150950,서울특별시 서대문구 북가좌동,202505,개인
DMC래미안클라시스,59,매매,377,82000,서울특별시 서대문구 남가좌동,202505,개인
DMC래미안클라시스,84,매매,377,92000,서울특별시 서대문구 남가좌동,202505,개인
DMC롯데캐슬더퍼스트,49,매매,417,75300,서울특별시 은평구 수색동,202505,개인
DMC롯데캐슬더퍼스트,59,매매,417,103500,서울특별시 은평구 수색동,202505,개인
DMC롯데캐슬더퍼스트,84,매매,417,125000,서울특별시 은평구 수색동,202505,개인
DMC문영퀸즈파크아파트,84,매매,254,57000,서울특별시 은평구 증산동,202505,개인
DMC상암센트럴파크1단지,84,매매,1630,117500,서울특별시 마포구 상암동,202505,개인
DMC상암센트럴파크2단지,59,매매,1618,92800,서울특별시 마포구 상암동,202505,개인
DMC서부인터빌,84,매매,467,71500,서울특별시 서대문구 북가좌동,202505,개인
DMC센트럴아이파크,84,매매,388,121688,서울특별시 서대문구 남가좌동,202505,개인
DMC센트럴자이(1단지),84,매매,258,156000,서울특별시 은평구 증산동,202505,법인
DMC센트럴자이(2단지),59,매매,258,125000,서울특별시 은평구 증산동,202505,개인
DMC센트럴자이(3단지),84,매매,258,153750,서울특별시 은평구 증산동,202505,개인
DMC센트레빌,84,매매,381,106200,서울특별시 서대문구 남가좌동,202505,개인
DMC에코자이,59,매매,389,108286,서울특별시 서대문구 남가좌동,202505,개인
DMC에코자이,72,매매,389,121750,서울특별시 서대문구 남가좌동,202505,개인
DMC에코자이,84,매매,389,132000,서울특별시 서대문구 남가좌동,202505,개인
DMC우방,59,매매,244,72250,서울특별시 은평구 증산동,202505,개인
DMC우방,84,매매,244,94000,서울특별시 은평구 증산동,202505,개인
DMC파크뷰자이1단지,59,매매,385,118667,서울특별시 서대문구 남가좌동,202505,개인
DMC파크뷰자이1단지,84,매매,385,133369,서울특별시 서대문구 남가좌동,202505,개인
DMC파크뷰자이2단지,84,매매,385,127000,서울특별시 서대문구 남가좌동,202505,개인
DMC파크뷰자이3단지,59,매매,385,106700,서울특별시 서대문구 남가좌동,202505,개인
DMC파크뷰자이4단지,84,매매,385,124500,서울특별시 서대문구 남가좌동,202505,개인
DMC한양,65,매매,431,68000,서울특별시 서대문구 북가좌동,202505,개인
DMC한양,116,매매,431,96250,서울특별시 서대문구 북가좌동,202505,개인
EGSoulLeader,13,매매,506-8,9325,서울특별시 중랑구 망우동,202505,개인
EL샤틀레,84,매매,480,75000,서울특별시 영등포구 신길동,202505,개인
KCC엠파이어리버,156,매매,381-16,199000,서울특별시 마포구 합정동,202505,개인
LG선릉에클라트(A),36,매매,142-7,35000,서울특별시 강남구 삼성동,202505,개인
LG한강자이,134,매매,430,390000,서울특별시 용산구 이촌동,202505,개인
LIG건영,59,매매,586,43000,서울특별시 노원구 중계동,202505,개인
LIG대학마을(건영아파트3차),69,매매,1703-1,58000,서울특별시 관악구 신림동,202505,개인
LIG서울역리가,84,매매,231,144000,서울특별시 중구 만리동1가,202505,개인
SKVIEW,84,매매,432-1,103900,서울특별시 구로구 신도림동,202505,개인
SK리더스뷰남산,205,매매,206,290000,서울특별시 중구 회현동1가,202505,개인
SK허브프리모,67,매매,953-1,98500,서울특별시 강남구 도곡동,202505,법인
U-포그니,102,매매,319-6,54000,서울특별시 동대문구 장안동,202505,개인
YS홈타운,12,매매,186-44,10000,서울특별시 은평구 대조동,202505,개인
e-편한세상,59,매매,755-4,261833,서울특별시 강남구 역삼동,202505,개인
e편한세상 문래 에듀플라츠,59,매매,58,108567,서울특별시 영등포구 문래동6가,202505,개인
e편한세상 수색 에코포레,84,매매,415-1,73667,서울특별시 은평구 수색동,202505,개인
e편한세상광진그랜드파크,84,매매,680,183750,서울특별시 광진구 구의동,202505,개인
e편한세상광진그랜드파크,115,매매,680,211000,서울특별시 광진구 구의동,202505,개인
e편한세상독산더타워,74,매매,1007-13,88400,서울특별시 금천구 독산동,202505,개인
e편한세상백련산,84,매매,771,88000,서울특별시 은평구 응암동,202505,개인
e편한세상상도노빌리티,59,매매,903,151750,서울특별시 동작구 상도동,202505,개인
e편한세상상도노빌리티,84,매매,903,173500,서울특별시 동작구 상도동,202505,개인
e편한세상서울대입구1단지,59,매매,1730,111300,서울특별시 관악구 봉천동,202505,개인
e편한세상서울대입구1단지,84,매매,1730,123500,서울특별시 관악구 봉천동,202505,개인
e편한세상서울대입구2단지,59,매매,1730-1,107500,서울특별시 관악구 봉천동,202505,개인
e편한세상서울대입구2단지,84,매매,1730-1,121875,서울특별시 관악구 봉천동,202505,개인
e편한세상서울대입구2차,84,매매,1733,117000,서울특별시 관악구 봉천동,202505,개인
e편한세상송파파크센트럴,59,매매,696,139500,서울특별시 송파구 거여동,202505,개인
e편한세상송파파크센트럴,84,매매,696,147000,서울특별시 송파구 거여동,202505,개인
e편한세상송파파크센트럴,113,매매,696,176000,서울특별시 송파구 거여동,202505,개인
e편한세상송파파크센트럴,140,매매,696,275000,서울특별시 송파구 거여동,202505,개인
e편한세상신촌1단지,84,매매,1013,173733,서울특별시 서대문구 북아현동,202505,개인
e편한세상신촌2단지,84,매매,1013,176875,서울특별시 서대문구 북아현동,202505,개인
e편한세상신촌3단지,59,매매,1013,156000,서울특별시 서대문구 북아현동,202505,개인
e편한세상신촌3단지,84,매매,1013,178700,서울특별시 서대문구 북아현동,202505,개인
e편한세상신촌4단지,84,매매,1013,194000,서울특별시 서대문구 북아현동,202505,개인
e편한세상영등포아델포레,59,매매,1127,103045,서울특별시 영등포구 대림동,202505,개인
e편한세상영등포아델포레,84,매매,1127,120671,서울특별시 영등포구 대림동,202505,개인
e편한세상홍제가든플라츠,59,매매,469,95120,서울특별시 서대문구 홍은동,202505,개인
e편한세상홍제가든플라츠,84,매매,469,118500,서울특별시 서대문구 홍은동,202505,개인
kcc웰츠,107,매매,171,182000,서울특별시 마포구 신공덕동,202505,개인
가락(1차)쌍용아파트,59,매매,140,133875,서울특별시 송파구 가락동,202505,개인
가락(1차)쌍용아파트,84,매매,140,150000,서울특별시 송파구 가락동,202505,개인
가락금호아파트,59,매매,95-1,130350,서울특별시 송파구 가락동,202505,개인
가락금호아파트,85,매매,95-1,148333,서울특별시 송파구 가락동,202505,개인
가락미륭아파트,64,매매,138,128000,서울특별시 송파구 가락동,202505,개인
가락삼익맨숀,84,매매,166,173617,서울특별시 송파구 송파동,202505,개인
가락삼익맨숀,127,매매,166,213250,서울특별시 송파구 송파동,202505,개인
가락쌍용(2차),59,매매,21-6,119000,서울특별시 송파구 가락동,202505,개인
가락쌍용(2차),84,매매,21-6,125750,서울특별시 송파구 가락동,202505,개인
가야써니빌(373-7),114,매매,373-7,68750,서울특별시 동대문구 장안동,202505,개인
가양2단지(성지),34,매매,1461,52250,서울특별시 강서구 가양동,202505,개인
가양2단지(성지),39,매매,1461,59400,서울특별시 강서구 가양동,202505,개인
가양2단지(성지),49,매매,1461,73000,서울특별시 강서구 가양동,202505,개인
가양6단지,39,매매,1485,60250,서울특별시 강서구 가양동,202505,개인
가양6단지,49,매매,1485,79650,서울특별시 강서구 가양동,202505,개인
가양6단지,58,매매,1485,83500,서울특별시 강서구 가양동,202505,개인
가양강나루현대,59,매매,448-1,85720,서울특별시 강서구 가양동,202505,개인
가양강나루현대,84,매매,448-1,97500,서울특별시 강서구 가양동,202505,개인
가양도시개발9-2단지,34,매매,1490,51290,서울특별시 강서구 가양동,202505,개인
가양도시개발9-2단지,39,매매,1490,57750,서울특별시 강서구 가양동,202505,개인
가양도시개발9-2단지,49,매매,1490,71350,서울특별시 강서구 가양동,202505,개인
가양역두산위브,50,매매,726,83000,서울특별시 강서구 등촌동,202505,개인
가양역두산위브,59,매매,726,94000,서울특별시 강서구 등촌동,202505,개인
가양우성,84,매매,14-3,92000,서울특별시 강서구 가양동,202505,개인
가우디캐슬,29,매매,104-34,28700,서울특별시 동대문구 용두동,202505,개인
가우디트윈캐슬1,41,매매,374-9,34800,서울특별시 동대문구 장안동,202505,개인
가우디트윈캐슬2,47,매매,374-8,39000,서울특별시 동대문구 장안동,202505,개인
갈현1단지e-편한세상,59,매매,547,57000,서울특별시 은평구 구산동,202505,개인
갈현동현대,59,매매,537,52500,서울특별시 은평구 갈현동,202505,개인
갈현동현대,84,매매,537,63000,서울특별시 은평구 갈현동,202505,개인
갈현현대,59,매매,382,42600,서울특별시 은평구 구산동,202505,개인
갑을명가,80,매매,1151,78950,서울특별시 동작구 사당동,202505,개인
강나루2현대,84,매매,448,99500,서울특별시 강서구 가양동,202505,개인
강남데시앙포레,59,매매,795,169500,서울특별시 강남구 수서동,202505,개인
강남서해그랑블,70,매매,796-29,92000,서울특별시 강남구 역삼동,202505,개인
강남엘에이치1단지,74,매매,579,141000,서울특별시 강남구 세곡동,202505,개인
강남자곡 힐스테이트,74,매매,619,119000,서울특별시 강남구 자곡동,202505,개인
강남자곡아이파크,59,매매,602,139750,서울특별시 강남구 자곡동,202505,개인
강남자곡아이파크,74,매매,602,155000,서울특별시 강남구 자곡동,202505,개인
강남한양수자인(4단지),101,매매,686,193000,서울특별시 강남구 자곡동,202505,개인
강동LG자이,126,매매,474,131500,서울특별시 강동구 길동,202505,개인
강동리버스트4단지,49,매매,114,71267,서울특별시 강동구 강일동,202505,개인
강동상떼빌,119,매매,450,99500,서울특별시 강동구 천호동,202505,개인
강동역두산위브센티움,59,매매,155-5,70400,서울특별시 강동구 천호동,202505,개인
강동역신동아파밀리에,94,매매,447-17,115500,서울특별시 강동구 천호동,202505,개인
강동역신동아파밀리에,101,매매,447-17,127167,서울특별시 강동구 천호동,202505,개인
강동역에스케이허브,84,매매,445-1,92000,서울특별시 강동구 길동,202505,개인
강동큐브(2차),14,매매,415-13,9700,서울특별시 강동구 길동,202505,개인
강동헤리티지자이,74,매매,483,150000,서울특별시 강동구 길동,202505,개인
강변,34,매매,1475,52400,서울특별시 강서구 가양동,202505,개인
강변,39,매매,1475,59917,서울특별시 강서구 가양동,202505,개인
강변,66,매매,53-15,247000,서울특별시 서초구 잠원동,202505,개인
강변건영아파트,84,매매,710,211250,서울특별시 성동구 성수동1가,202505,개인
강변금호타운,84,매매,830,284000,서울특별시 성동구 성수동2가,202505,개인
강변래미안,55,매매,376,118167,서울특별시 영등포구 당산동,202505,개인
강변래미안,79,매매,376,124700,서울특별시 영등포구 당산동,202505,개인
강변래미안,108,매매,376,161250,서울특별시 영등포구 당산동,202505,개인
강변삼부아파트,81,매매,99-12,199500,서울특별시 강남구 삼성동,202505,개인
강변청구3,84,매매,745,250000,서울특별시 성동구 성수동2가,202505,개인
강변한솔솔파크,84,매매,300,104733,서울특별시 강서구 염창동,202505,개인
강변현대,78,매매,400,250000,서울특별시 성동구 성수동2가,202505,개인
강변힐스테이트,59,매매,222,120500,서울특별시 마포구 현석동,202505,개인
강변힐스테이트,84,매매,222,141750,서울특별시 마포구 현석동,202505,개인
강변힐스테이트,114,매매,222,154000,서울특별시 마포구 현석동,202505,법인
