단지명,거래구분,전용면적(㎡),시군구,번지,계약년월,건축년도,평균 보증금(만원),평균 월세금(만원)
620-47(롯데캐슬L-65),전세,84,서울특별시 동대문구 전농동,620-47,202507,2023,74481,0
CJ나인파크,전세,97,서울특별시 용산구 문배동,24-6,202507,2007,75000,0
CJ나인파크,전세,123,서울특별시 용산구 문배동,24-6,202507,2007,81900,0
CONEST,전세,36,서울특별시 서초구 서초동,1365-8,202507,2023,33300,0
DH팰리스타워,전세,43,서울특별시 은평구 녹번동,83-26,202507,2020,39500,0
DMCSKVIEW,전세,59,서울특별시 은평구 수색동,418,202507,2023,60850,0
DMC금호리첸시아,전세,84,서울특별시 서대문구 남가좌동,396,202507,2024,77000,0
DMC두산위브,전세,84,서울특별시 서대문구 북가좌동,459,202507,2007,45000,0
DMC래미안e편한세상,전세,84,서울특별시 서대문구 북가좌동,481,202507,2012,64983,0
DMC래미안e편한세상,전세,120,서울특별시 서대문구 북가좌동,481,202507,2012,90500,0
DMC롯데캐슬더퍼스트,전세,59,서울특별시 은평구 수색동,417,202507,2021,60000,0
DMC롯데캐슬더퍼스트,전세,84,서울특별시 은평구 수색동,417,202507,2021,58938,0
DMC롯데캐슬더퍼스트,전세,114,서울특별시 은평구 수색동,417,202507,2021,90000,0
DMC마포청구아파트,전세,84,서울특별시 마포구 중동,390,202507,1994,55500,0
DMC상암센트럴파크1단지,전세,84,서울특별시 마포구 상암동,1630,202507,2009,62000,0
DMC센트럴아이파크,전세,59,서울특별시 서대문구 남가좌동,388,202507,2018,52500,0
DMC센트럴아이파크,전세,84,서울특별시 서대문구 남가좌동,388,202507,2018,64750,0
DMC센트럴자이(1단지),전세,84,서울특별시 은평구 증산동,258,202507,2023,63000,0
DMC센트럴자이(2단지),전세,59,서울특별시 은평구 증산동,258,202507,2023,69333,0
DMC센트럴자이(3단지),전세,84,서울특별시 은평구 증산동,258,202507,2023,83000,0
DMC아이파크,전세,114,서울특별시 서대문구 북가좌동,458,202507,2009,68200,0
DMC아트포레자이,전세,59,서울특별시 은평구 수색동,189,202507,2023,43800,0
DMC아트포레자이,전세,73,서울특별시 은평구 수색동,189,202507,2023,48742,0
DMC아트포레자이,전세,84,서울특별시 은평구 수색동,189,202507,2023,51800,0
DMC에코자이,전세,59,서울특별시 서대문구 남가좌동,389,202507,2019,60667,0
DMC에코자이,전세,84,서울특별시 서대문구 남가좌동,389,202507,2019,64000,0
DMC우방,전세,59,서울특별시 은평구 증산동,244,202507,2000,28000,0
DMC우방,전세,84,서울특별시 은평구 증산동,244,202507,2000,42000,0
DMC자이1단지,전세,30,서울특별시 은평구 수색동,75,202507,2009,80000,0
DMC파크뷰자이1단지,전세,59,서울특별시 서대문구 남가좌동,385,202507,2015,60250,0
DMC파크뷰자이1단지,전세,84,서울특별시 서대문구 남가좌동,385,202507,2015,70642,0
DMC파크뷰자이2단지,전세,59,서울특별시 서대문구 남가좌동,385,202507,2015,65500,0
