단지명,거래구분,전용면적(㎡),시군구,번지,계약년월,건축년도,평균 거래금액(만원)
2차한양아파트,매매,64,서울특별시 송파구 송파동,151,202507,1984,162000
2차한양아파트,매매,108,서울특별시 송파구 송파동,151,202507,1984,215000
620-47(롯데캐슬L-65),매매,102,서울특별시 동대문구 전농동,620-47,202507,2023,219000
CJ나인파크,매매,84,서울특별시 용산구 문배동,24-6,202507,2007,110000
CJ나인파크,매매,123,서울특별시 용산구 문배동,24-6,202507,2007,168500
DMC금호리첸시아,매매,84,서울특별시 서대문구 남가좌동,396,202507,2024,128000
DMC두산위브,매매,84,서울특별시 서대문구 북가좌동,459,202507,2007,86000
DMC래미안e편한세상,매매,84,서울특별시 서대문구 북가좌동,481,202507,2012,132500
DMC래미안클라시스,매매,59,서울특별시 서대문구 남가좌동,377,202507,2000,87000
DMC롯데캐슬더퍼스트,매매,84,서울특별시 은평구 수색동,417,202507,2021,122400
DMC상암센트럴파크2단지,매매,36,서울특별시 마포구 상암동,1618,202507,2009,58000
DMC상암센트럴파크2단지,매매,51,서울특별시 마포구 상암동,1618,202507,2009,83800
DMC센트럴자이(3단지),매매,84,서울특별시 은평구 증산동,258,202507,2023,159500
DMC센트레빌,매매,84,서울특별시 서대문구 남가좌동,381,202507,2009,115000
DMC아이파크,매매,59,서울특별시 서대문구 북가좌동,458,202507,2009,93000
DMC우방,매매,59,서울특별시 은평구 증산동,244,202507,2000,73000
DMC파크뷰자이1단지,매매,59,서울특별시 서대문구 남가좌동,385,202507,2015,126000
DMC파크뷰자이1단지,매매,84,서울특별시 서대문구 남가좌동,385,202507,2015,141000
DMC한양,매매,84,서울특별시 서대문구 북가좌동,431,202507,1987,65000
DMC현대아파트,매매,84,서울특별시 서대문구 북가좌동,453,202507,2000,76500
DUO302,매매,15,서울특별시 중구 황학동,819,202507,2014,16000
LG선릉에클라트(B),매매,36,서울특별시 강남구 삼성동,142-3,202507,2004,33500
LG한강자이,매매,169,서울특별시 용산구 이촌동,430,202507,2003,480000
LIG건영,매매,59,서울특별시 노원구 중계동,586,202507,1998,44000
LIG건영캐스빌,매매,56,서울특별시 도봉구 창동,635-42,202507,2002,51500
SK,매매,83,서울특별시 송파구 송파동,170,202507,2001,120000
SKVIEW,매매,84,서울특별시 구로구 신도림동,432-1,202507,2006,107500
SM해그린,매매,84,서울특별시 중랑구 묵동,390,202507,2006,60500
e지브로,매매,84,서울특별시 송파구 가락동,16-21,202507,2004,79000
e편한세상 수색 에코포레,매매,59,서울특별시 은평구 수색동,415-1,202507,2003,65300
e편한세상백련산,매매,59,서울특별시 은평구 응암동,771,202507,2022,76000
e편한세상상도노빌리티,매매,84,서울특별시 동작구 상도동,903,202507,2018,120500
e편한세상서울대입구2차,매매,84,서울특별시 관악구 봉천동,1733,202507,2020,125000
e편한세상서울대입구2차,매매,116,서울특별시 관악구 봉천동,1733,202507,2020,144500
e편한세상송파파크센트럴,매매,59,서울특별시 송파구 거여동,696,202507,2021,153000
e편한세상송파파크센트럴,매매,84,서울특별시 송파구 거여동,696,202507,2021,174000
e편한세상영등포아델포레,매매,59,서울특별시 영등포구 대림동,1127,202507,2020,110000
e편한세상영등포아델포레,매매,84,서울특별시 영등포구 대림동,1127,202507,2020,126500
sk파크타워,매매,84,서울특별시 송파구 가락동,166-2,202507,2003,107000
가락(1차)쌍용아파트,매매,59,서울특별시 송파구 가락동,140,202507,1997,149900
가락(1차)쌍용아파트,매매,84,서울특별시 송파구 가락동,140,202507,1997,93779
"가락3차쌍용스윗닷홈101동,102동",매매,84,서울특별시 송파구 가락동,53,202507,2005,140000
가락삼익맨숀,매매,84,서울특별시 송파구 송파동,166,202507,1984,221500
가락삼익맨숀,매매,108,서울특별시 송파구 송파동,166,202507,1984,244000
가락삼익맨숀,매매,127,서울특별시 송파구 송파동,166,202507,1984,270000
가락쌍용(2차),매매,84,서울특별시 송파구 가락동,21-6,202507,1999,153000
가양2단지(성지),매매,34,서울특별시 강서구 가양동,1461,202507,1992,54000
가양6단지,매매,49,서울특별시 강서구 가양동,1485,202507,1992,76000
가양도시개발9-2단지,매매,39,서울특별시 강서구 가양동,1490,202507,1993,58100
가양역두산위브,매매,59,서울특별시 강서구 등촌동,726,202507,2022,90000
갈현1단지e-편한세상,매매,84,서울특별시 은평구 구산동,547,202507,2004,62800
강국,매매,60,서울특별시 양천구 신월동,24-5,202507,2006,39200
강남데시앙포레,매매,59,서울특별시 강남구 수서동,795,202507,2014,178000
강남자곡 힐스테이트,매매,74,서울특별시 강남구 자곡동,619,202507,2015,115000
강남자곡아이파크,매매,59,서울특별시 강남구 자곡동,602,202507,2014,139600
강남자곡아이파크,매매,74,서울특별시 강남구 자곡동,602,202507,2014,168000
강남자곡아이파크,매매,84,서울특별시 강남구 자곡동,602,202507,2014,188000
강남한양수자인(4단지),매매,114,서울특별시 강남구 자곡동,686,202507,2014,195000
강동리버스트4단지,매매,49,서울특별시 강동구 강일동,114,202507,2020,78000
강동역신동아파밀리에,매매,94,서울특별시 강동구 천호동,447-17,202507,2015,127000
강동이루미아파트,매매,84,서울특별시 강동구 천호동,46,202507,2005,73000
강변,매매,34,서울특별시 강서구 가양동,1475,202507,1992,56000
강변에스케이뷰,매매,84,서울특별시 광진구 구의동,667,202507,2017,152000
강변임광,매매,84,서울특별시 성동구 성수동2가,609-2,202507,2000,300000
강변한솔솔파크,매매,84,서울특별시 강서구 염창동,300,202507,2005,108000
강변힐스테이트,매매,59,서울특별시 강서구 염창동,299,202507,2005,108500
강변힐스테이트,매매,84,서울특별시 강서구 염창동,299,202507,2005,122500
강변힐스테이트,매매,114,서울특별시 마포구 현석동,222,202507,2004,187000
강서뉴타워,매매,82,서울특별시 강서구 화곡동,1071-19,202507,2013,70500
강서한강자이,매매,124,서울특별시 강서구 가양동,1500,202507,2013,149900
강일리버파크5단지,매매,84,서울특별시 강동구 강일동,670,202507,2009,104000
개봉동현대아이파크,매매,84,서울특별시 구로구 개봉동,489,202507,2006,87800
개봉푸르지오,매매,84,서울특별시 구로구 개봉동,492,202507,2014,86500
개포자이,매매,168,서울특별시 강남구 개포동,12-2,202507,2004,313000
개포자이프레지던스,매매,59,서울특별시 강남구 개포동,1284,202507,2023,310000
개포자이프레지던스,매매,78,서울특별시 강남구 개포동,1284,202507,2023,366000
개포자이프레지던스,매매,84,서울특별시 강남구 개포동,1284,202507,2023,374500
개포주공7단지,매매,73,서울특별시 강남구 개포동,185,202507,1983,365000
개포한신,매매,107,서울특별시 강남구 일원동,615-1,202507,1984,299000
개화,매매,101,서울특별시 강서구 방화동,819,202507,1994,72000
거성,매매,79,서울특별시 구로구 개봉동,270-80,202507,1988,39000
거여1단지,매매,39,서울특별시 송파구 거여동,290,202507,1997,63000
거여5단지,매매,84,서울특별시 송파구 거여동,294,202507,1997,115000
건영,매매,32,서울특별시 동작구 상도동,414,202507,1997,64000
건영,매매,45,서울특별시 노원구 하계동,271-3,202507,1988,40000
건영,매매,53,서울특별시 노원구 하계동,271-3,202507,1988,49667
건영2,매매,75,서울특별시 노원구 중계동,515-2,202507,1991,74500
건영2차,매매,74,서울특별시 중랑구 신내동,785,202507,1996,66500
건영2차아파트,매매,84,서울특별시 중랑구 상봉동,63,202507,1996,74000
건영아파트,매매,59,서울특별시 노원구 공릉동,404-3,202507,1998,49000
경남,매매,44,서울특별시 도봉구 쌍문동,73,202507,1988,26450
경남,매매,46,서울특별시 도봉구 쌍문동,73,202507,1988,27500
경남,매매,52,서울특별시 중랑구 망우동,226,202507,1989,38000
경남,매매,59,서울특별시 강남구 도곡동,967,202507,2005,195000
경남,매매,84,서울특별시 영등포구 신길동,67-1,202507,1999,100500
경남2,매매,59,서울특별시 구로구 고척동,306,202507,1999,51000
경남아너스빌,매매,59,서울특별시 광진구 자양동,666-28,202507,1997,88000
경남아너스빌,매매,84,서울특별시 중랑구 면목동,1529,202507,2006,77000
경남아너스빌,매매,122,서울특별시 은평구 구산동,224,202507,2004,71000
경남아너스빌1차,매매,59,서울특별시 동작구 사당동,1134,202507,1997,82000
경남아너스빌1차,매매,84,서울특별시 동작구 사당동,1134,202507,1997,80000
경희궁롯데캐슬,매매,84,서울특별시 종로구 무악동,89,202507,2019,175000
경희궁자이(2단지),매매,77,서울특별시 종로구 홍파동,199,202507,2017,246000
경희궁자이(2단지),매매,84,서울특별시 종로구 홍파동,199,202507,2017,250000
경희궁자이(2단지),매매,101,서울특별시 종로구 홍파동,199,202507,2017,297000
고덕그라시움,매매,73,서울특별시 강동구 고덕동,693,202507,2019,192500
고덕그라시움,매매,84,서울특별시 강동구 고덕동,693,202507,2019,206000
고덕롯데캐슬베네루체,매매,59,서울특별시 강동구 상일동,514,202507,2019,124000
고덕롯데캐슬베네루체,매매,84,서울특별시 강동구 상일동,514,202507,2019,156000
고덕리엔파크2단지,매매,84,서울특별시 강동구 강일동,717,202507,2011,113500
고덕센트럴푸르지오,매매,59,서울특별시 강동구 고덕동,210-1,202507,2020,129000
고덕아르테온,매매,84,서울특별시 강동구 상일동,519,202507,2020,185000
